Provinsi,Kabupaten,Kecamatan,Urea Tunggal (kg/ha),SP-36 (kg/ha),KCl (kg/ha),NPK 15-10-12 (kg/ha),Urea Majemuk (kg/ha)
DKI JAKARTA,KOTA JAKARTA TIMUR,CAKUNG,300,50,50,250,225
DKI JAKARTA,KOTA JAKARTA BARAT,KEMBANGAN,300,50,50,250,225
DKI JAKARTA,KOTA JAKARTA BARAT,KALI DERES,300,50,50,250,225
DKI JAKARTA,KOTA JAKARTA UTARA,CILINCING,350,50,50,250,275
JAWA BARAT,BOGOR,NANGGUNG,350,50,50,250,275
JAWA BARAT,BOGOR,LEUWILIANG,350,50,50,250,275
JAWA BARAT,BOGOR,LEUWISADENG,350,50,50,250,275
JAWA BARAT,BOGOR,PAMIJAHAN,350,50,50,250,275
JAWA BARAT,BOGOR,CIBUNGBULANG,350,50,50,250,275
JAWA BARAT,BOGOR,CIAMPEA,350,50,50,250,275
JAWA BARAT,BOGOR,TENJOLAYA,350,50,50,250,275
JAWA BARAT,BOGOR,DRAMAGA,350,50,50,250,275
JAWA BARAT,BOGOR,CIOMAS,350,50,50,250,275
JAWA BARAT,BOGOR,TAMANSARI,350,50,50,250,275
JAWA BARAT,BOGOR,CIJERUK,350,50,50,250,275
JAWA BARAT,BOGOR,CIGOMBONG,350,50,50,250,275
JAWA BARAT,BOGOR,CARINGIN,350,50,50,250,275
JAWA BARAT,BOGOR,CIAWI,350,50,50,250,275
JAWA BARAT,BOGOR,CISARUA,350,50,50,250,275
JAWA BARAT,BOGOR,MEGAMENDUNG,350,50,50,250,275
JAWA BARAT,BOGOR,SUKARAJA,350,50,100,250,275
JAWA BARAT,BOGOR,BABAKAN MADANG,350,50,50,250,275
JAWA BARAT,BOGOR,SUKAMAKMUR,350,50,50,250,275
JAWA BARAT,BOGOR,CARIU,350,50,50,250,275
JAWA BARAT,BOGOR,TANJUNGSARI,350,50,50,250,275
JAWA BARAT,BOGOR,JONGGOL,350,50,50,250,275
JAWA BARAT,BOGOR,CILEUNGSI,350,50,100,250,275
JAWA BARAT,BOGOR,KLAPANUNGGAL,350,50,50,250,275
JAWA BARAT,BOGOR,GUNUNGPUTRI,350,50,100,250,275
JAWA BARAT,BOGOR,CITEUREUP,350,50,50,250,275
JAWA BARAT,BOGOR,CIBINONG,350,50,50,250,275
JAWA BARAT,BOGOR,BOJONGGEDE,350,50,50,250,275
JAWA BARAT,BOGOR,TAJURHALANG,350,50,50,250,275
JAWA BARAT,BOGOR,KEMANG,350,50,50,250,275
JAWA BARAT,BOGOR,RANCABUNGUR,350,50,50,250,275
JAWA BARAT,BOGOR,PARUNG,350,75,50,300,250
JAWA BARAT,BOGOR,CISEENG,350,50,50,250,275
JAWA BARAT,BOGOR,GUNUNGSINDUR,350,75,50,300,250
JAWA BARAT,BOGOR,RUMPIN,350,50,50,250,275
JAWA BARAT,BOGOR,CIGUDEG,350,75,50,300,250
JAWA BARAT,BOGOR,SUKAJAYA,350,50,50,250,275
JAWA BARAT,BOGOR,JASINGA,350,75,50,300,250
JAWA BARAT,BOGOR,TENJO,350,75,50,300,250
JAWA BARAT,BOGOR,PARUNGPANJANG,350,75,50,300,250
JAWA BARAT,SUKABUMI,CIEMAS,350,50,100,250,275
JAWA BARAT,SUKABUMI,CIRACAP,350,50,100,250,275
JAWA BARAT,SUKABUMI,WALURAN,350,50,100,250,275
JAWA BARAT,SUKABUMI,SURADE,350,50,100,250,275
JAWA BARAT,SUKABUMI,CIBITUNG,350,50,100,250,275
JAWA BARAT,SUKABUMI,JAMPANG KULON,350,50,100,250,275
JAWA BARAT,SUKABUMI,CIMANGGU,350,50,100,250,275
JAWA BARAT,SUKABUMI,KALIBUNDER,350,50,100,250,275
JAWA BARAT,SUKABUMI,TEGALBULEUD,350,50,100,250,275
JAWA BARAT,SUKABUMI,CIDOLOG,350,50,100,250,275
JAWA BARAT,SUKABUMI,SAGARANTEN,350,50,50,250,275
JAWA BARAT,SUKABUMI,CIDADAP,350,50,100,250,275
JAWA BARAT,SUKABUMI,CURUG KEMBAR,350,50,50,250,275
JAWA BARAT,SUKABUMI,PABUARAN,350,50,50,250,275
JAWA BARAT,SUKABUMI,LENGKONG,350,50,50,250,275
JAWA BARAT,SUKABUMI,PALABUHANRATU,350,50,50,250,275
JAWA BARAT,SUKABUMI,SIMPENAN,350,50,50,250,275
