Kategori,Nama Varietas,Nomor Seleksi,Asal Seleksi,Umur Tanaman,Bentuk Tanaman,Tinggi Tanaman,Daun Bendera,Bentuk Gabah,Warna Gabah,Kerontokan,Kerebahan,Tekstur Nasi,Kadar Amilosa,Berat 1000 Butir,Rata-rata Hasil,Potensi Hasil,Ketahanan Hama,Ketahanan Penyakit,Anjuran Tanam,Tahun Dilepas
Padi Sawah,CIHERANG,S3383-1d-Pn-41-3-1,IR18349-53-1-3-1-3/2*IR19661-131-3-1//2*IR64,116-125 hari,Tegak,107-115 cm,Tegak,Panjang ramping,Kuning bersih,Sedang,Sedang,Pulen,23%,27-28 gram,5-7 t/ha,-,Tahan terhadap wereng batang coklat biotipe 2 dan 3,Tahan terhadap hawar daun bakteri patotipe III dan IV,Baik ditanam pada musim penghujan dan kemarau dengan ketinggian dibawah 500 mdpl,2000
Padi Sawah,MEKONGGA,S4663-5d-Kn-5-3-3,A2790/2*IR64,116-125 hari,Tegak,91-106 cm,Tegak,Ramping panjang,Kuning bersih,Sedang,-,Pulen,23%,27-28 gram,6 t/ha GKG,-,Agak tahan terhadap wereng batang coklat biotipe 2 dan 3,Agak tahan terhadap hawar daun bakteri patotipe IV,Baik ditanam di sawah dataran rendah sampai ketinggian 500 m dpl,2004
Padi Sawah,INPARI 1,BP23F-PN-11,IR64/IRBB-7//IR64,108 hari,Tegak,93 cm,Tegak,Ramping,Kuning Bersih,Sedang,Tahan,Pulen,22%,27 gram,"7,3 t/ha GKG",-,"Tahan terhadap wereng batang coklat biotipe 2, agak tahan terhadap biotipe 3","Tahan terhadap hawar daun bakteri patotipe III, IV, dan VIII",Baik ditanam pada lahan sawah dataran rendah sampai dengan ketinggian 500 mdpl,2008
Padi Sawah,INPARI 2,BP1356-1G-KN-4,Tajum/ Maros//Tajum,115 hari,Tegak,85-95 cm,Tegak,Ramping,Kuning jerami dengan garis-garis coklat,Sedang,Sedang,Pulen,"18,55%",27-28 gram,"5,83 t/ha","7,30 t/ha","Agak tahan terhadap hama wereng batang coklat biotipe 1,2 dan 3","Agak tahan terhadap hawar daun bakteri patotipe III, agak rentan terhadap patotipe IV dan VIII, aga tahan penyakit tungro 013 dan 031, rentan terhadap penyakit tungro 073",Cocok ditanam diekosistem sawah dataran rendah sampai ketinggian 600 mdpl,2008
Padi Sawah,INPARI 3,BP3448E-4-2,Digul/BPT164C-68-7-2,110 hari,Sedang,95-100 cm,Tegak,Panjang ramping,Kuning bersih,Sedang,Sedang,Pulen,"20,57%",24 gram,"6,05 t/ha","7,52 t/ha",Agak tahan terhadap wereng coklat biotipe 1 dan 2 dan agak rentan terhadap biotipe 3,"Agak tahan terhadap hawar daun bakteri patotipe III, agak rentan terhadap hawar daun bakteri patotipe IV dan VIII, agak tahan penyakit tungro inokulum variasi 073, 013 dan 031",Cocok ditanam dilahan irigasi dengan ketinggian sampai 600 mdpl,2008
Padi Sawah,INPARI 4,BP2280-1E-12-2,S4384F-14-1/Way Apo Buru/S4384F-14-1,115 hari,Sedang,95-105 cm,Tegak,Panjang ramping,Kuning bersih,Sedang,Sedang,Pulen,"21,07%",25 gram,"6,04 t/ha","8,80 t/ha","Agak rentan terhadap wereng batang coklat biotipe 1, 2, dan 3","Agak tahan terhadap hawar daun bakteri patotipe III dan IV serta agak rentan terhadap hawar daun bakteri patotipe VIII, agak tahan penyakit tungro inokulum variasi 013, rentan terhadap penyakit virus tungro inokulum varian 073 dan 031",Cocok ditanam dilahan irigasi dengan ketinggian sampai dengan 600 mdpl,2008
Padi Sawah,INPARI 5 MERAWU,IR65600-21-2-2,SHEN NUNG 89-366/ Ketan Lumbu,115 hari,Sedang,100-105 cm,Tegak,Panjang dan agak gemuk,Kuning bersih,Sedang,Sedang,Pulen,"23,91%","27,41 gram","5,74 t/ha","7,20 t/ha","Agak tahan terhadap WBC biotipe 1, 2, dan 3","Agak tahan terhadap HDB patotipe III, agak rentan terhadap strain IV dan VIII, rentan terhadap tungro inokulum varian No. 073, agak tahan terhadap tungro inokulum varian No. 031 dan 013",Cocok untuk ditanam diekosistem sawah sampai dengan ketinggian 600 mdpl,2008
Padi Sawah,INPARI 6 JETE,BP205D-KN-78-1-8,Dakava line 85/ Memberamo,118 hari,Tegak,100 cm,Tegak,Sedang Ramping,Kuning,Sedang,Tahan,Sangat Pulen,18%,28 gram,"7,82 t/ha GKG","8,60 t/ha GKG; 12 t/ha GKG",Tahan terhadap hama wereng batang cokelat biotipe 2 dan 3,"Tahan terhadap hawar daun bakteri patotipe III, IV, dan VIII",Cocok ditanam disawah dataran rendah sampai sedang 600 mdpl),2008
Padi Sawah,INPARI 7 LANRANG,RUTTST96B-15-1-2-2-2-1,S3054-2D-12-2/Utri Merah-2,110-115 hari,Tegak,104 cm,Tegak,"Panjang (P=7,1mm, L=2,2 mm, P/L=3,2 mm)",Kuning bersih,Sedang,-,Pulen,"20,78%","26,6 gram","6,2 t/ha GKG","8,7 t/ha GKG","Agak rentan terhadap wereng batang coklat biotipe 1, 2, dan 3","Agak tahan terhadap hawar daun bakteri patotipe III dan IV, agak rentan terhadap ras VIII serta agak tahan terhadap tungro inokulum varian 013, rentan terhadap tungro inokulum varian 073 dan 031",Cocok ditanam disawah dataran rendah sampai ketinggian 600 mdpl,2009
Padi Sawah,INPARI 8,IR73012-15-2-2-1,IR68064-18-1-1-2-2/ IR61979-138-1-3-2-2,125 hari,Tegak,105 cm,Tegak,"Panjang dan ramping (P=6,8 mm, L=2,1 mm, P/L=3,2 mm)",Kuning bersih,Sedang,-,Pulen,21%,"25,3 gram","6,3 t/ha","9,9 t/ha GKG","Agak rentan terhadap wereng batang cokelat biotipe 1, 2, dan 3","Agak tahan terhadap hawar daun bakteri patotipe III, agak rentan terhadap patotipe IV dan VIII, tahan terhadap tungro inokulum varian 013 dan 031. Agak tahan terhadap tungro inokulum varian 073",Cocok ditanam dilahan irigasi dengan ketinggian sampai dengan 600 mdpl,2009
